你的性别是（必填）,你的出生年月是（必填）,你的星座是（必填）,家乡（省）,你的家乡是（省市）,你现在在墨尔本(澳大利亚境内)还是在国内？（必填）,你在CSSA哪个部门？（必填）,你是本科还是研究生？（必填）,你的专业是（必填）,你目前的感情状态是 (✿◡‿◡)？（必填）,你目前想要的状态是(*/ω＼*)（必填）
男,January,水瓶座,辽宁省,辽宁省鞍山市,我在墨尔本,信息部,研究生,Computing and Information,孤寡孤寡,脱离孤寡队伍
女,September,处女座,辽宁省,辽宁省鞍山市,我在墨尔本,信息部,研究生,Sciences and mathematics,孤寡孤寡,保持孤寡
男,June,双子座,天津市,天津市,我在国内,信息部,本科,"Medicine, dentistry, health and welfare",布谷布谷,和TA9999
男,February,水瓶座,广东省,广东省广州市,我在国内,信息部,本科,Computing and Information,孤寡孤寡,脱离孤寡队伍
女,June,巨蟹座,河北省,河北省石家庄市,我在墨尔本,信息部,本科,Computing and Information,孤寡孤寡,脱离孤寡队伍
男,June,双子座,北京市,北京市,我在墨尔本,信息部,研究生,Computing and Information,布谷布谷,保持孤寡
男,April,双子座,保密,保密,我在国内,信息部,研究生,Computing and Information,孤寡孤寡,脱离孤寡队伍
女,April,白羊座,湖北省,湖北省武汉市,我在国内,宣传部,本科,media,有点暧昧的小关系,保持孤寡
女,November,射手座,河南省,河南省郑州市,我在墨尔本,组织部,本科,"Architecture, Building and planning",孤寡孤寡,脱离孤寡队伍
女,December,摩羯座,浙江省,浙江省绍兴市,我在国内,宣传部,本科,"Accounting, Finance and Actuarial",孤寡孤寡,脱离孤寡队伍
女,November,天蝎座,江苏省,江苏省南京市,我在国内,宣传部,本科,"Accounting, Finance and Actuarial",布谷布谷,和TA9999
男,March,白羊座,四川省,四川省遂宁市,我在国内,宣传部,研究生,Engineering,有点暧昧的小关系,脱离孤寡队伍
女,December,摩羯座,湖南省,湖南省岳阳市,我在墨尔本,宣传部,研究生,其他,孤寡孤寡,脱离孤寡队伍
女,May,双子座,广东省,广东省汕头市,我在国内,宣传部,本科,"Architecture, Building and planning",孤寡孤寡,保持孤寡
男,July,巨蟹座,江苏省,江苏省苏州市,我在墨尔本,宣传部,本科,"Architecture, Building and planning",孤寡孤寡,保持孤寡
女,February,水瓶座,浙江省,浙江省绍兴市,我在国内,宣传部,研究生,"Commerce, economics and management",孤寡孤寡,脱离孤寡队伍
女,November,天蝎座,广东省,广东省佛山市,我在墨尔本,宣传部,研究生,"Architecture, Building and planning",孤寡孤寡,保持孤寡
女,October,天蝎座,浙江省,浙江省宁波市,我在国内,宣传部,研究生,"Accounting, Finance and Actuarial",孤寡孤寡,脱离孤寡队伍
女,December,摩羯座,上海市,上海市,我在墨尔本,宣传部,研究生,"Architecture, Building and planning",孤寡孤寡,脱离孤寡队伍
女,June,双子座,广东省,广东省揭阳市,我在国内,宣传部,本科,Performing and visual arts,布谷布谷,和TA9999
男,October,天蝎座,江苏省,江苏省南京市,我在国内,宣传部,本科,immunology,孤寡孤寡,脱离孤寡队伍
女,August,处女座,辽宁省,辽宁省大连市,我在墨尔本,宣传部,本科,media,布谷布谷,和TA9999
男,January,摩羯座,江苏省,江苏省南通市,我在国内,宣传部,本科,media,布谷布谷,和TA9999
女,February,水瓶座,内蒙古自治区,内蒙古自治区呼和浩特市,我在国内,宣传部,研究生,arts,孤寡孤寡,脱离孤寡队伍
女,July,白羊座,中国,中国,我在国内,宣传部,本科,"Architecture, Building and planning",孤寡孤寡,保持孤寡
女,January,摩羯座,湖北省,湖北省武汉市,我在墨尔本,宣传部,本科,"Architecture, Building and planning",孤寡孤寡,脱离孤寡队伍
女,June,巨蟹座,辽宁省,辽宁省锦州市,我在国内,宣传部,研究生,"Architecture, Building and planning",孤寡孤寡,脱离孤寡队伍
女,December,射手座,山东省,山东省日照市,我在墨尔本,组织部,研究生,Computing and Information,孤寡孤寡,脱离孤寡队伍
女,July,狮子座,浙江省,浙江省杭州市,我在国内,宣传部,本科,Psychology,孤寡孤寡,脱离孤寡队伍
女,July,巨蟹座,山东省,山东省济南市,我在墨尔本,外联部,本科,"Accounting, Finance and Actuarial",布谷布谷,和TA9999
女,June,双子座,上海市,上海市,我在墨尔本,外联部,本科,psychology,孤寡孤寡,脱离孤寡队伍
女,March,双鱼座,辽宁省,辽宁省大连市,我在国内,外联部,本科,"Accounting, Finance and Actuarial",孤寡孤寡,脱离孤寡队伍
